[14-Jul-2025 11:09:11 UTC] PHP Warning:  PHP Startup: Invalid date.timezone value 'UTC ', using 'UTC' instead in Unknown on line 0
[14-Jul-2025 18:06:41 Asia/Kolkata] PHP Deprecated:  Collective\Html\HtmlBuilder::__construct(): Implicitly marking parameter $url as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\laravelcollective\html\src\HtmlBuilder.php on line 38
[14-Jul-2025 12:48:20 UTC] PHP Warning:  PHP Startup: Invalid date.timezone value 'UTC ', using 'UTC' instead in Unknown on line 0
[14-Jul-2025 12:48:30 UTC] PHP Warning:  PHP Startup: Invalid date.timezone value 'UTC ', using 'UTC' instead in Unknown on line 0
[14-Jul-2025 12:48:41 UTC] PHP Warning:  PHP Startup: Invalid date.timezone value 'UTC ', using 'UTC' instead in Unknown on line 0
[14-Jul-2025 12:48:46 UTC] PHP Warning:  PHP Startup: Invalid date.timezone value 'UTC ', using 'UTC' instead in Unknown on line 0
[14-Jul-2025 12:48:47 UTC] PHP Warning:  PHP Startup: Invalid date.timezone value 'UTC ', using 'UTC' instead in Unknown on line 0
[14-Jul-2025 18:19:04 Asia/Kolkata] PHP Deprecated:  Laravel\Sanctum\HasApiTokens::createToken(): Implicitly marking parameter $expiresAt as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\laravel\sanctum\src\HasApiTokens.php on line 46
[14-Jul-2025 18:19:04 Asia/Kolkata] PHP Deprecated:  Spatie\Permission\Traits\HasRoles::hasRole(): Implicitly marking parameter $guard as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\spatie\laravel-permission\src\Traits\HasRoles.php on line 186
[14-Jul-2025 18:19:04 Asia/Kolkata] PHP Deprecated:  Spatie\Permission\Traits\HasRoles::hasAllRoles(): Implicitly marking parameter $guard as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\spatie\laravel-permission\src\Traits\HasRoles.php on line 243
[14-Jul-2025 18:19:04 Asia/Kolkata] PHP Deprecated:  Spatie\Permission\Traits\HasRoles::hasExactRoles(): Implicitly marking parameter $guard as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\spatie\laravel-permission\src\Traits\HasRoles.php on line 277
[14-Jul-2025 12:49:11 UTC] PHP Warning:  PHP Startup: Invalid date.timezone value 'UTC ', using 'UTC' instead in Unknown on line 0
[14-Jul-2025 18:19:12 Asia/Kolkata] PHP Deprecated:  Laravel\Sanctum\HasApiTokens::createToken(): Implicitly marking parameter $expiresAt as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\laravel\sanctum\src\HasApiTokens.php on line 46
[14-Jul-2025 18:19:12 Asia/Kolkata] PHP Deprecated:  Spatie\Permission\Traits\HasRoles::hasRole(): Implicitly marking parameter $guard as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\spatie\laravel-permission\src\Traits\HasRoles.php on line 186
[14-Jul-2025 18:19:12 Asia/Kolkata] PHP Deprecated:  Spatie\Permission\Traits\HasRoles::hasAllRoles(): Implicitly marking parameter $guard as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\spatie\laravel-permission\src\Traits\HasRoles.php on line 243
[14-Jul-2025 18:19:12 Asia/Kolkata] PHP Deprecated:  Spatie\Permission\Traits\HasRoles::hasExactRoles(): Implicitly marking parameter $guard as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\spatie\laravel-permission\src\Traits\HasRoles.php on line 277
[14-Jul-2025 18:19:42 Asia/Kolkata] PHP Deprecated:  Collective\Html\FormBuilder::__construct(): Implicitly marking parameter $request as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\laravelcollective\html\src\FormBuilder.php on line 119
[14-Jul-2025 18:19:42 Asia/Kolkata] PHP Deprecated:  Collective\Html\HtmlBuilder::__construct(): Implicitly marking parameter $url as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\laravelcollective\html\src\HtmlBuilder.php on line 38
[14-Jul-2025 18:21:35 Asia/Kolkata] PHP Deprecated:  Barryvdh\LaravelIdeHelper\Console\ModelsCommand::getReturnTypeFromDocBlock(): Implicitly marking parameter $reflectorForContext as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\vendor\barryvdh\laravel-ide-helper\src\Console\ModelsCommand.php on line 1294
[14-Jul-2025 18:26:05 Asia/Kolkata] PHP Deprecated:  App\Services\UserService::createStudentUser(): Optional parameter $current_address declared before required parameter $status is implicitly treated as a required parameter in C:\Projects\laravel_developer_task\app\Services\UserService.php on line 114
[14-Jul-2025 18:26:05 Asia/Kolkata] PHP Deprecated:  App\Services\UserService::createStudentUser(): Optional parameter $permanent_address declared before required parameter $status is implicitly treated as a required parameter in C:\Projects\laravel_developer_task\app\Services\UserService.php on line 114
[14-Jul-2025 18:26:05 Asia/Kolkata] PHP Deprecated:  App\Services\UserService::createStudentUser(): Optional parameter $extraFields declared before required parameter $status is implicitly treated as a required parameter in C:\Projects\laravel_developer_task\app\Services\UserService.php on line 114
[14-Jul-2025 18:26:05 Asia/Kolkata] PHP Deprecated:  App\Services\UserService::updateStudentUser(): Optional parameter $extraFields declared before required parameter $classSectionID is implicitly treated as a required parameter in C:\Projects\laravel_developer_task\app\Services\UserService.php on line 189
[14-Jul-2025 18:26:05 Asia/Kolkata] PHP Deprecated:  App\Services\UserService::updateStudentUser(): Optional parameter $guardianID declared before required parameter $classSectionID is implicitly treated as a required parameter in C:\Projects\laravel_developer_task\app\Services\UserService.php on line 189
[14-Jul-2025 18:26:05 Asia/Kolkata] PHP Deprecated:  App\Services\UserService::updateStudentUser(): Optional parameter $current_address declared before required parameter $classSectionID is implicitly treated as a required parameter in C:\Projects\laravel_developer_task\app\Services\UserService.php on line 189
[14-Jul-2025 18:26:05 Asia/Kolkata] PHP Deprecated:  App\Services\UserService::updateStudentUser(): Optional parameter $permanent_address declared before required parameter $classSectionID is implicitly treated as a required parameter in C:\Projects\laravel_developer_task\app\Services\UserService.php on line 189
[14-Jul-2025 18:26:05 Asia/Kolkata] PHP Deprecated:  App\Services\UserService::updateStudentUser(): Optional parameter $reset_password declared before required parameter $classSectionID is implicitly treated as a required parameter in C:\Projects\laravel_developer_task\app\Services\UserService.php on line 189
[14-Jul-2025 18:27:39 Asia/Kolkata] PHP Deprecated:  App\Http\Controllers\SemesterController::checkIfMonthAlreadyExists(): Implicitly marking parameter $ignoreID as nullable is deprecated, the explicit nullable type must be used instead in C:\Projects\laravel_developer_task\app\Http\Controllers\SemesterController.php on line 173
[14-Jul-2025 18:35:26 Asia/Kolkata] PHP Deprecated:  App\Http\Controllers\StudentController::list(): Optional parameter $id declared before required parameter $request is implicitly treated as a required parameter in C:\Projects\laravel_developer_task\app\Http\Controllers\StudentController.php on line 688
[15-Jul-2025 02:22:10 Asia/Kolkata] PHP Deprecated:  App\Http\Controllers\StudentController::list(): Optional parameter $id declared before required parameter $request is implicitly treated as a required parameter in C:\Projects\laravel_developer_task\app\Http\Controllers\StudentController.php on line 691
[15-Jul-2025 03:58:41 Asia/Kolkata] PHP Deprecated:  App\Http\Controllers\StudentController::list(): Optional parameter $id declared before required parameter $request is implicitly treated as a required parameter in C:\Projects\laravel_developer_task\app\Http\Controllers\StudentController.php on line 693
